FacilityID,Name,FacilityType,Town,State,Latitude,Longitude,OpeningHours,Parking,ParkingAccessible,Accessible,BabyChange,BabyCareRoom,DumpPoint,Shower,DrinkingWater,MLAK24,PaymentRequired,Is_24_Hour
2379,Campbell Street,Park or reserve,Diamond Creek,VIC,-37.67798896,145.148724,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2380,Elizabeth Street,Park or reserve,Diamond Creek,VIC,-37.67235601,145.156474,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2381,Diamond Street,Park or reserve,Diamond Creek,VIC,-37.6734517,145.1524518,OPEN: 24 hours,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2383,Edendale Farm,Other,Eltham,VIC,-37.70081001,145.15477,OPEN: Variable hours,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2386,Plenty Park,Park or reserve,Plenty,VIC,-37.669969,145.122773,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2388,Peppers Paddock,Other,Wattle Glen,VIC,-37.66632997,145.182629,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2389,Rotary Park,Park or reserve,Wanneroo,WA,-31.75181448,115.79459518,OPEN: 24 hours,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2390,Quinns Rocks North Beach,Beach,Quinns Rocks,WA,-31.67163182,115.69098403,"OPEN: May-Oct 6am-8pm, Nov-Apr 6am-10pm",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2392,Yanchep Lagoon,Park or reserve,Yanchep,WA,-31.54867952,115.62464983,OPEN: 6am-9pm,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2393,Fishermans Hollow Beach,Park or reserve,Yanchep,WA,-31.55082968,115.62549966,OPEN: 6am-9pm,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2394,Leeman's Landing,Car park,Two Rocks,WA,-31.50206219,115.58697126,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
2422,Queens Beach,Beach,Bowen,QLD,-19.97838371,148.23225032,OPEN: 5am-10pm,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2423,Rose Bay,Other,Bowen,QLD,-19.99120549,148.26589869,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2424,Grays Bay,Park or reserve,Bowen,QLD,-19.98239317,148.25770721,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2425,Horseshoe Bay,Other,Bowen,QLD,-19.97928332,148.26072991,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
